iter	Passed	Remaining
0	936	92671
1	1103	54063
2	1260	40749
3	1407	33775
4	1537	29214
5	1658	25979
6	1783	23690
7	1916	22044
8	2049	20718
9	2167	19509
10	2302	18626
11	2425	17788
12	2581	17277
13	2718	16698
14	2852	16161
15	2993	15715
16	3171	15486
17	3313	15095
18	3554	15152
19	3681	14727
20	3802	14303
21	3918	13891
22	4037	13518
23	4160	13176
24	4287	12863
25	4416	12570
26	4537	12267
27	4676	12025
28	4800	11752
29	4897	11427
30	5006	11143
31	5116	10872
32	5225	10610
33	5333	10354
34	5493	10202
35	5600	9955
36	5715	9732
37	5820	9496
38	5932	9279
39	6042	9064
40	6155	8857
41	6256	8640
42	6367	8441
43	6470	8235
44	6579	8041
45	6704	7870
46	6810	7679
47	6900	7475
48	7007	7293
49	7122	7122
50	7232	6948
51	7336	6771
52	7430	6589
53	7535	6419
54	7638	6249
55	7749	6088
56	7858	5928
57	7961	5765
58	8076	5612
59	8179	5452
60	8292	5301
61	8389	5141
62	8500	4992
63	8613	4844
64	8723	4697
65	8823	4545
66	8939	4403
67	9048	4258
68	9159	4115
69	9275	3975
70	9373	3828
71	9475	3684
72	9581	3543
73	9691	3405
74	9801	3267
75	9913	3130
76	10020	2993
77	10128	2856
78	10226	2718
79	10325	2581
80	10428	2446
81	10526	2310
82	10630	2177
83	10739	2045
84	10840	1912
85	10944	1781
86	11044	1650
87	11151	1520
88	11254	1391
89	11376	1264
90	11513	1138
91	11629	1011
92	11739	883
93	11845	756
94	11952	629
95	12050	502
96	12152	375
97	12268	250
98	12389	125
99	12518	0
